头实体,尾实体,Probability
广州庚威润滑科技有限公司,地块是否存在特征污染物 | 是,78.5899425
广州斯之创建筑材料有限公司,地块是否存在特征污染物 | 是,78.5899425
广州纳士得润滑科技有限公司,地块是否存在特征污染物 | 是,78.5899425
广州米奇化工有限公司,地块是否存在特征污染物 | 是,78.5899425
广州炬联胶粘剂有限公司,地块是否存在特征污染物 | 是,78.5899425
广州赛铭机电设备有限公司,地块是否存在特征污染物 | 是,78.5899425
广州市斯洛柯高分子聚合物有限公司,地块是否存在特征污染物 | 是,78.5899425
广州凯帆道路交通设施有限公司,地块是否存在特征污染物 | 是,78.5899425
广州市番禺大兴热熔胶有限公司,地块是否存在特征污染物 | 是,78.5899425
广州日宝机电设备有限公司,地块是否存在特征污染物 | 是,78.5899425
广州市千代电源有限公司,地块是否存在特征污染物 | 是,78.5899425
普莱克斯(广州)工业气体有限公司,地块是否存在特征污染物 | 是,78.5899425
广州科德化工有限公司,地块是否存在特征污染物 | 是,78.5899425
广州农丰动物药业有限公司（广东农丰动物保健品有限公司兽药厂）,地块是否存在特征污染物 | 是,78.5899425
广州市浩之博化工有限公司（广州雅运纺织印染助剂有限公司）,地块是否存在特征污染物 | 是,78.5899425
广州三骏佳纺织合成材料厂有限公司,是否产生危险废物 * | 是,59.358
广州庚威润滑科技有限公司,是否产生危险废物 * | 是,59.358
百草堂医药股份有限公司（广州百草堂药业有限公司）,是否产生危险废物 * | 是,59.358
广东省中科宏微半导体设备有限公司,是否产生危险废物 * | 是,59.358
广州市白云区林源印花厂（曾用名:广州市白云区新秀印花工艺厂））,是否产生危险废物 * | 是,59.358
广州市白云区良田锐达丝印器材厂（广州市白云区多华涂料厂）,是否产生危险废物 * | 是,59.358
广州斯之创建筑材料有限公司,是否产生危险废物 * | 是,59.358
广州特鲁勃润滑技术有限公司,是否产生危险废物 * | 是,59.358
广州岚茲密封材料有限公司,是否产生危险废物 * | 是,59.358
广州市嘉曜华洗涤用品有限公司,是否产生危险废物 * | 是,59.358
广州市迅宏粘合剂有限公司,是否产生危险废物 * | 是,59.358
广州纳士得润滑科技有限公司,是否产生危险废物 * | 是,59.358
广州市兴利泰电源材料有限公司,是否产生危险废物 * | 是,59.358
广东农密生物科技有限公司,是否产生危险废物 * | 是,59.358
广州给力源电子有限公司,是否产生危险废物 * | 是,59.358
广州金发碳纤维新材料发展有限公司,是否产生危险废物 * | 是,59.358
广州米奇化工有限公司,是否产生危险废物 * | 是,59.358
广州鸿森材料有限公司（广州锂新电池材料有限公司、广州锂新材料有限公司）,是否产生危险废物 * | 是,59.358
广州力智农业有限公司（广州力智畜牧有限公司、广州广南畜牧有限公司）,是否产生危险废物 * | 是,59.358
广州市白云粤新印花厂,是否产生危险废物 * | 是,59.358
广州盛峰压力克洁具制品有限公司（广州市白云盛峰压力克洁具制品厂）,是否产生危险废物 * | 是,59.358
广州市黄埔区兴发水洗厂,是否产生危险废物 * | 是,59.358
广东环凯微生物科技有限公司,是否产生危险废物 * | 是,59.358
广州炬联胶粘剂有限公司,是否产生危险废物 * | 是,59.358
阿克苏诺贝尔高效化学品（广州）有限公司（依卡化学品（广州）有限公司,是否产生危险废物 * | 是,59.358
