头实体,尾实体|关系,Probability
中国石油化工股份有限公司广州分公司,该企业是否发生过化学品泄漏或环境污染事故 * | 否,0.988950276
广州斗原钢铁有限公司,该企业是否发生过化学品泄漏或环境污染事故 * | 否,0.988950276
广州市汇彩涂料有限公司,该企业是否发生过化学品泄漏或环境污染事故 * | 否,0.988950276
易安爱富（广州）化工科技有限公司,该企业是否发生过化学品泄漏或环境污染事故 * | 否,0.988950276
广州庚威润滑科技有限公司,地块是否存在特征污染物 | 是,0.958563536
广州斯之创建筑材料有限公司,地块是否存在特征污染物 | 是,0.958563536
广州纳士得润滑科技有限公司,地块是否存在特征污染物 | 是,0.958563536
广州米奇化工有限公司,地块是否存在特征污染物 | 是,0.958563536
广州炬联胶粘剂有限公司,地块是否存在特征污染物 | 是,0.958563536
广州赛铭机电设备有限公司,地块是否存在特征污染物 | 是,0.958563536
广州市斯洛柯高分子聚合物有限公司,地块是否存在特征污染物 | 是,0.958563536
广州凯帆道路交通设施有限公司,地块是否存在特征污染物 | 是,0.958563536
广州市番禺大兴热熔胶有限公司,地块是否存在特征污染物 | 是,0.958563536
广州日宝机电设备有限公司,地块是否存在特征污染物 | 是,0.958563536
广州市千代电源有限公司,地块是否存在特征污染物 | 是,0.958563536
普莱克斯(广州)工业气体有限公司,地块是否存在特征污染物 | 是,0.958563536
广州科德化工有限公司,地块是否存在特征污染物 | 是,0.958563536
广州农丰动物药业有限公司（广东农丰动物保健品有限公司兽药厂）,地块是否存在特征污染物 | 是,0.958563536
广州市浩之博化工有限公司（广州雅运纺织印染助剂有限公司）,地块是否存在特征污染物 | 是,0.958563536
